WKT,id,Name,Start_map,End_map,Open_date,Close_date,Info
"MULTILINESTRING ((2.28387568716049 48.8767172724153,2.28321650400944 48.877468745385,2.28230094276875 48.877468745385,2.28199575568852 48.8768888899325,2.28233146147677 48.8766142215603,2.28312494788537 48.8764921467282,2.28387568716049 48.8767172724153))","1","1","1908","1915",,,This segment was removed and extended in-between 1915 and 1950
"MULTILINESTRING ((2.2775936853855 48.8722530788523,2.27665498178449 48.8724484179152,2.2761361637481 48.8723568617911,2.27576993925182 48.872173749543,2.27558682700368 48.8717464876307,2.2757394205438 48.8713192257183,2.27634979470426 48.870922482514,2.27746560259366 48.8707801267461,2.27845558555785 48.870922482514,2.27970685258679 48.870861445098,2.2775936853855 48.8722530788523,2.27970685258679 48.870861445098,2.28434569620629 48.8698848464412,2.28559885987542 48.8699475885992,2.29304352799284 48.8731503481997,2.29459998210202 48.8741269468564,2.29514102786741 48.8747506932931,2.29691940391177 48.8772093363668,2.2978960025685 48.8779417853593,2.29853522185113 48.8780808458809,2.30327428514916 48.8791695496116,2.30814143123904 48.8805144189259,2.31202616438315 48.8813903993659,2.31307261872483 48.881218874281,2.31379624944849 48.8816955864461,2.31587152159405 48.8816040303221,2.31809938727973 48.8819397361103,2.31941271692084 48.8821794952198,2.32524076495711 48.8833741153874,2.32633943844594 48.8832825592633,2.32710240614652 48.8834656715115,2.32773809839036 48.8839726543055,2.32878093508778 48.8846864198324,2.32923871570813 48.8847474572485,2.33177270633328 48.8839726543055,2.33740834917419 48.8826918263871,2.3392793706477 48.8824280354387,2.34426077853756 48.8833962817423,2.3464512670331 48.8839234521318,2.34938409021111 48.884356902681,2.35099750957646 48.8844445247599,2.35916698233685 48.8851447652823,2.36420871409754 48.8850513998793,2.36653257691224 48.8849610882046,2.367539694277 48.8847779759565,2.36860784905781 48.8839234521318,2.3691266670942 48.8832215218473,2.36920376315675 48.8826705821034,2.36967600383861 48.8799865387969,2.37069760960436 48.8776288503427,2.37114090182372 48.8769041492865,2.37620616837994 48.8721202915671,2.37975405369302 48.8689925505674,2.38234126766816 48.8670466065951,2.38348866981205 48.8666117327915,2.3859729939229 48.8644219977051,2.38649181195929 48.8636895487126,2.38652913877089 48.8629131168518,2.3866444054994 48.8621941320194,2.38774307898823 48.8596305605455,2.3886281215209 48.8588675928449,2.38932400749804 48.8585823081356,2.3916799923232 48.8578604754802,2.39280918452005 48.8572806200277,2.39361881603493 48.8562481730612,2.39660650893016 48.8524668742407,2.39705128493525 48.8514820655034,2.39604416757049 48.8505359855547,2.39537275599398 48.8502613171825,2.39381630188481 48.8502307984744,2.39311437160028 48.8497424991461,2.39331735280213 48.8489992279499,2.39415730744822 48.848427189872,2.3947318631255 48.8487353817813,2.39558638695014 48.8492847185257,2.39613572369456 48.8495288681899,2.39714284105932 48.8494373120658,2.39763114038769 48.8495899056059,2.39660650893016 48.8524668742407))","2",2 Nord,"1908","1908",,,
"MULTILINESTRING ((2.31310991650625 48.8810727913038,2.31236187017141 48.8807647658515,2.31083593477026 48.8804900974792,2.30998141094561 48.8802459478151,2.30900481228888 48.880154391691,2.30811976975621 48.8798492046108,2.30689902143529 48.8792693491583,2.30644124081494 48.878903124662,2.30644124081494 48.8786284562898,2.30668539047913 48.8785063814577,2.30708213368343 48.8783537879176,2.30757043301179 48.8784758627497,2.30836391942039 48.8789946807861,2.30992037352957 48.880215429107,2.31310991650625 48.8810727913038))","3","3","1908","1908",,,This segment was removed in-between 1908 and 1915
"MULTILINESTRING ((2.3435282773384 48.8984026525048,2.34227020403395 48.8995337712856,2.34098841829699 48.8998999957819,2.3400728570563 48.8998999957819,2.33964559514397 48.8994116964535,2.33952352031188 48.8991675467893,2.33976766997607 48.898801322293,2.34050011896862 48.898679247461,2.34165982987349 48.8989233971251,2.34227020403395 48.8989844345412,2.34288057819441 48.8989233971251,2.3435282773384 48.8984026525048,2.3466093356366 48.8949014498932,2.34880120755088 48.8925144684403,2.34898431979901 48.8922092813601,2.34908351881546 48.8914002472816,2.34899984183559 48.888391510624,2.34938409021111 48.884356902681,2.35142581644085 48.8818939580483,2.35209722801736 48.881527733552,2.35518035138552 48.8809391718497,2.35661399680477 48.8807342471434,2.35832304445405 48.8803680226471,2.35881134378242 48.880184910399,2.35726118190919 48.8768000179626,2.35740748321336 48.8757291790277,2.35572418840712 48.87244520304,2.3539950707173 48.8694352574318,2.35211499747496 48.8662622038511,2.35130374160876 48.8646814067233,2.34880771764783 48.8639917387787,2.34611556124485 48.8631554713222,2.34560564785187 48.8623907038807,2.34550518708439 48.8614464236729,2.34701455856209 48.859765006648,2.34791113810496 48.8587403443133,2.34776357147809 48.857662103878,2.34819083339042 48.8565023929732,2.34831290822251 48.8556478691485,2.34778305531312 48.8546416949745,2.34690904765345 48.8533284473388,2.34623763607694 48.8529622228425,2.34501688775602 48.8530232602585,2.3437961394351 48.8531453350906,2.3424035780559 48.852656411701,2.34117153054512 48.8518025119376,2.34025596930443 48.8516193996895,2.33804876313338 48.8517598321581,2.33471861054557 48.8524642875132,2.33378600320356 48.8525349609302,2.33262629229868 48.8518635493537,2.33113229237409 48.8504149628438,2.32882680212099 48.8480454311948,2.32536283978921 48.844416984596,2.32562473232502 48.8432423265008,2.32929005338458 48.8421966799134,2.33042894532103 48.8416092634579,2.33162418845898 48.8386954773018,2.33280940454682 48.8353834470212,2.33204433277237 48.8337004282426,2.33013034201136 48.8314596585712,2.32751611072804 48.82828523487,2.32634904319084 48.8241304744376,2.32621736361385 48.823114926396,2.32682773777431 48.8220772903232,2.32731603710268 48.8218941780751,2.327743299015 48.821833140659,2.32823159834337 48.8218941780751,2.32841471059151 48.8221993651553,2.32835367317546 48.8226876644837,2.32768226159896 48.8228707767318,2.32682773777431 48.823114926396,2.32634904319084 48.8241304744376))","4","4","1908","1950",,,
"MULTILINESTRING ((2.3545917037647 48.8791075828605,2.355909494719 48.8797978543127,2.3558781187439 48.8802998699144,2.35543885509246 48.8805508777152,2.35515227000889 48.8808032740439,2.35424656803858 48.8802998699144,2.35402693621286 48.8799547341882,2.3545917037647 48.8791075828605,2.35606637459451 48.877130896429,2.35669389409656 48.8769426405784,2.35700714905643 48.8769115928006,2.35932947600515 48.8765975048523,2.35948635588066 48.8762523691262,2.35854507662759 48.8745894424458,2.35845094870229 48.8742756826947,2.36103962426843 48.8709722509339,2.36334560081825 48.8681887435249,2.36353385666886 48.867906359749,2.36460063982234 48.8673729681722,2.36527134612865 48.8670685675068,2.36579292687623 48.866086553193,2.36948385936568 48.8637174052993,2.3708444588677 48.8629803316579,2.37134647446933 48.8624155641061,2.37147197836974 48.8616311647285,2.37125780202222 48.8606830297026,2.370184099888 48.8576486541059,2.36841015723146 48.8539607206883,2.36792649318318 48.852877267675,2.36635611836599 48.8498526429574,2.36573017492602 48.8483905032353,2.3653850391999 48.847386472032,2.36563604700071 48.8469785843557,2.36663621457492 48.8463047576443,2.3682088769591 48.8450646498745,2.36827162890931 48.8448763940239,2.3643954449035 48.8427568723312,2.36359660861906 48.8423663160157,2.36312596899253 48.8421780601651,2.36249844949048 48.8414250367626,2.36028736717256 48.8381352848839,2.35846674181453 48.8355677363021,2.35688214994717 48.8333614111613,2.35663114214635 48.8327025156842,2.35642112913411 48.8317413388931))","5","5","1908","1950",,,
"MULTILINESTRING ((2.39611780681263 48.8462490929346,2.39530203145997 48.8473158760881,2.39480001585834 48.8477237637644,2.3941323257513 48.8482187484053,2.3930115852775 48.8475668838889,2.3929802093024 48.8470962442624,2.39367048075465 48.8464059728101,2.3942666242816 48.8461863409844,2.39633743863835 48.8460922130591,2.39978879589961 48.8458098292832,2.40034112504919 48.845511151719,2.40047906735186 48.844837174055,2.39959420182539 48.8425701415253,2.39891026859674 48.8407582972917,2.39862788482082 48.8405700414411,2.39837687702 48.8404445375407,2.39562617219891 48.8401893237494,2.39505102365915 48.8401307777896,2.39407836843098 48.8402249057149,2.39279195345179 48.8402876576652,2.38843703616977 48.8399092275405,2.3875207896346 48.8398483940137,2.38673639025704 48.8398170180386,2.38563823112846 48.839942521939,2.38012751530492 48.8407961988687,2.37854726075533 48.8409779291174,2.37801386917859 48.8407896732668,2.37251823496239 48.837761823272,2.36935410005035 48.8360205250512,2.36719640699277 48.8352409573917,2.36220135793356 48.8334670147351,2.35758810938698 48.8318161443875,2.35692921390983 48.8315023846365,2.35652132741081 48.8317133765833))","6","6","1908","1950",,,
"MULTILINESTRING ((2.29307910457659 48.8719460165434,2.29471065528191 48.8731383035973,2.29489891113253 48.8733893113981,2.29459325787708 48.8742313388871,2.29376937602884 48.874267838701,2.29307910457659 48.8740168309002,2.29304352799284 48.8731503481997,2.29307910457659 48.8719460165434,2.29219512365511 48.8705880025584,2.28976155061018 48.8672578499706,2.28764818454484 48.8641838629664,2.28692941345653 48.8634117513156,2.28617639005408 48.8630979915645,2.28592538225326 48.8621567123115,2.28548611860183 48.861403688909,2.28435658349814 48.8599603940543,2.28423107959773 48.8594583784527,2.28476632172847 48.8586763029174,2.28899305385915 48.8540012810153,2.2918240655725 48.850673105424,2.29283553761431 48.8501587972601,2.29706226974499 48.848685845154,2.30128900187566 48.8472769344437,2.3076931414676 48.8452276097743,2.31027313893267 48.8443351584533,2.31108891428533 48.8432056233497,2.31225086734149 48.8414730980403,2.31328523254249 48.8403817855905,2.31416375984535 48.839942521939,2.31541879884945 48.8398797699888,2.32088566902699 48.8416412916028,2.32200775362094 48.8416368245946,2.32294903287401 48.8413858167937,2.32485519674323 48.8407261748165,2.33045712092178 48.8387888427048,2.33204433277237 48.8346340822723,2.33305209685696 48.8337300788688,2.33755289154794 48.8324399953024,2.34385505624881 48.8308527834518,2.34917934805955 48.8294629462548,2.35034395175563 48.8294989851087,2.35034395175563 48.8294989851087,2.35645938565055 48.8316930720786))","2",2 Sud,"1908","1908",,,
"MULTILINESTRING ((2.31310991650625 48.8810727913038,2.3140709178207 48.8811920277638,2.31559685322185 48.8811309903477,2.31706175120695 48.8807952845595,2.32047984650553 48.8798492046108,2.32102721522122 48.8792510742194,2.32287095230049 48.8759674798156,2.32392846051213 48.8752103609913,2.32484402175282 48.874874655203,2.32679721906629 48.8745999868308,2.32756018676686 48.8743863558746,2.32908296770467 48.873277741187,2.33260524448023 48.870908209538,2.33341977870728 48.8700526993354,2.33506778894052 48.8696254374231,2.33638368683948 48.8693712160359,2.34040856284455 48.8685878013503,2.34125083292935 48.8682825123053,2.3457337306437 48.8673859327624,2.3520245290092 48.8662266005043,2.35578822980304 48.8654646908848,2.36061414608297 48.8665066967132,2.36201580812484 48.8671839407812,2.36250410745321 48.8671839407812,2.36518905082879 48.866938511702,2.36790591877328 48.8665430479127,2.37382535060405 48.8653512998514,2.37849362075285 48.8643242804186,2.38656972811026 48.862830433971,2.39403896034832 48.8645576939261,2.39485393795759 48.8646814067233,2.39650194819083 48.8647119254313,2.39799823656365 48.8647017725801,2.39970641253325 48.8646814067233,2.40001159961348 48.8652002247597,2.39958433770116 48.8658716363362,2.39894344483267 48.8659937111683,2.39811943971605 48.8657495615041,2.39786694187033 48.8651645690454,2.39650194819083 48.8647119254313))","3","3","1908","1950",,,
"MULTILINESTRING ((2.28387568716049 48.8767172724153,2.28584111289941 48.8760648848159,2.28828859850403 48.8753270658564,2.29121240551146 48.8743863558746,2.29212796675215 48.8742642810425,2.29313508411691 48.874844136495,2.29402012664958 48.8750882861592,2.29472205693411 48.8750272487431,2.29505255127748 48.8748854840331,2.29597332396305 48.8742947997506,2.29609539879514 48.8738370191302,2.29606488008712 48.873470794634,2.29600384267107 48.8732571636778,2.29600384267107 48.8729824953056,2.29640058587537 48.8727688643494,2.3000722153532 48.8714205407053,2.30493936144307 48.8700116299951,2.31345686710034 48.8673859327624,2.31816042469578 48.8659631924603,2.31892339239635 48.8660242298763,2.32002206588518 48.8665125292047,2.32081555229378 48.8666040853288,2.3220363006147 48.8665430479127,2.32447198719847 48.8657848978644,2.32991550585162 48.8641198215705,2.33676793521499 48.8620704969011,2.34157103990895 48.8604694620031,2.34650222739474 48.8587403443133,2.35258616000708 48.8570112266235,2.36075419418744 48.855174470927,2.36497612280307 48.8539083027912,2.36683776399247 48.853633634419,2.36735658202886 48.8534810408789,2.36741761944491 48.8532368912147,2.36729554461282 48.8529622228425,2.3671429510727 48.8526570357623,2.36705139494863 48.8525044422222,2.36794333021658 48.8522451314087,2.36897407355408 48.8519551054777,2.37175127598418 48.8462481070774,2.37202594435638 48.8459734387052,2.37293837927578 48.8460713441369,2.38624294919984 48.8477519213904,2.39216829165157 48.8485675288872,2.39302281547621 48.8485064914711,2.39414282547156 48.848318575047,2.39555586824212 48.848384416639,2.39607468627851 48.8485980475952,2.40580300112328 48.8477519213904,2.40706142116679 48.8476214489385,2.40767179532725 48.8474688553984,2.40803801982353 48.8474688553984,2.40840424431981 48.8477740424786,2.40834320690376 48.8480792295588,2.40800750111551 48.8482318230989,2.40751920178714 48.8482318230989,2.40715297729086 48.8481097482668,2.4069393463347 48.8478655986027,2.40672571537854 48.8477740424786,2.40580300112328 48.8477519213904))","1","1","1908","1950",,,
